INDEX,DATE,TIME,WORD,IN,1,2,3,4,5,6
1292,01/01/2025,07:49:00,nerve,6,OUGHT,READY,LEVIS,FEVER,KERVE,NERVE
1293,02/01/2025,07:49:00,chose,6,OUGHT,HOVER,EPOCH,CHODE,CHOSS,CHOSE
1294,03/01/2025,07:48:00,cheap,5,SIDEY,EARTH,HEALS,APEAK,CHEAP,
1295,04/01/2025,07:48:00,relax,5,EARTH,READY,RESAW,RENAL,RELAX,
1296,05/01/2025,07:48:00,cyber,5,ORALS,RAMEN,RIVER,TWEER,HUGER,CYBER
1297,06/01/2025,07:47:00,sprig,5,AAAAA,GRIMY,TRAGI,PRIGS,SPRIG,
1298,07/01/2025,07:47:00,atlas,4,AAAAA,MASTY,BLOAT,ATLAS,,
1299,08/01/2025,07:47:00,draft,3,POSER,TARDY,DRAFT,,,
1300,09/01/2025,07:47:00,wafer,6,MERIT,RAVED,GAPER,CANER,WAKER,WAFER
1301,10/01/2025,07:46:00,crawl,4,ALOUD,LATER,VIRAL,CRAWL,,
1302,11/01/2025,07:46:00,dingy,3,ROARY,WINDY,DINGY,,,
1303,12/01/2025,07:46:00,total,3,OUGHT,TOWEL,TOTAL,,,
1304,13/01/2025,07:45:00,cloak,5,OUGHT,LOWER,SALSA,FINAL,CLOAK,
1305,14/01/2025,07:45:00,fancy,5,OUGHT,LAMER,BASIN,NANCY,FANCY,
1306,15/01/2025,07:45:00,knack,6,OUGHT,PILAR,MAKES,BANKY,AWAKE,KNACK
1308,17/01/2025,07:44:00,prose,4,OUGHT,CORAL,RENOS,PROSE,,
1309,18/01/2025,07:44:00,silly,4,OUGHT,LIVER,MILDS,SILLY,,
1310,19/01/2025,07:44:00,rower,6,OUGHT,SOLER,JOKER,COVER,ZONER,ROWER
1311,20/01/2025,07:43:00,squid,2,SQUAD,SQUID,,,,
1312,21/01/2025,07:43:00,icing,6,OUGHT,GREIN,GINGA,FLING,SWING,ICING
1313,22/01/2025,07:42:00,reach,3,SOUGH,AERIE,REACH,,,
1314,23/01/2025,07:42:00,upper,4,OUGHT,UNSEW,PLAID,UPPER,,
1315,24/01/2025,07:42:00,crepe,5,OUGHT,LIMES,READY,CREWE,CREPE,
1316,25/01/2025,07:42:00,crisp,3,STAVE,CORSO,CRISP,,,
1317,26/01/2025,07:41:00,sunny,4,OUGHT,RULER,JUDAS,SUNNY,,
1318,27/01/2025,07:41:00,shunt,3,OUGHT,HAUNT,SHUNT,,,
1319,28/01/2025,07:41:00,fever,3,OUGHT,SAVER,LIVER,FEVER,,
1320,29/01/2025,07:41:00,udder,4,OUGHT,UNSAY,UPPER,UDDER,,
1321,30/01/2025,07:40:00,false,6,OUGHT,RIVAL,LAMES,SALES,DALES,FALSE
1322,31/01/2025,07:40:00,toast,5,OUGHT,COVET,SADIS,BOAST,TOAST,
1323,01/02/2025,07:40:00,rivet,5,OUGHT,BREAK,ERECT,RELIT,RIVET,
1324,02/02/2025,07:39:00,chore,4,SOUPY,OLIVE,CRANK,CHORE,,
1325,03/02/2025,07:39:00,revue,6,OUGHT,LEMUR,REBUS,REPUN,RECUE,REVUE
1326,04/02/2025,07:38:00,tooth,4,OUGHT,THOLE,TROTH,TOOTH,,
1327,05/02/2025,07:38:00,pedal,3,OUGHT,PARES,PEDAL,,,
1328,06/02/2025,07:37:00,pupil,5,OUGHT,SUPER,MANIA,CUPID,PUPIL,
1329,07/02/2025,07:37:00,swath,5,OUGHT,TERAI,FLAKS,STASH,SWATH,
1330,08/02/2025,07:37:00,steep,3,OUGHT,TAPES,STREP,STEEP,,
1331,09/02/2025,07:36:00,bonus,5,OUGHT,PLANE,BOURN,BONUM,BONUS,
1332,10/02/2025,07:36:00,goddy,6,OUGHT,GLOVE,GROWS,GOOMY,GOOFY,GOODY
1333,11/02/2025,07:36:00,score,6,OUGHT,LOVER,REPOS,ERSES,SMORE,SCORE
1334,12/02/2025,07:36:00,rapid,3,OUGHT,PINES,RAPID,,,
1335,13/02/2025,07:35:00,rumba,5,AAAAA,MOLAR,TRAGU,DUMKY,RUMBA,
1336,14/02/2025,07:34:00,ditty,4,ROAMS,TEPID,DICTY,DITTY,,
1337,15/02/2025,07:34:00,crook,5,ARRIE,WRONG,BROTH,PROSY,CROOK,
1338,16/02/2025,07:34:00,suave,5,OUGHT,RULER,PADDY,CUECA,SUAVE,
1339,17/02/2025,07:33:00,trail,6,OUGHT,TARES,TRADY,TRAMP,TRACT,TRAIL
1340,18/02/2025,07:32:00,indie,6,OUGHT,RAPER,LEVEL,WINES,KNIFE,INDIE
1341,19/02/2025,09:47:00,madly,6,OUREY,TASTY,FANCY,LAGGY,DALLY,MADLY
1342,20/02/2025,14:45:15,roach,5,OUGHT,HOVER,MORAH,POLIS,ROACH,
1343,21/02/2025,14:22:03,clove,3,OUGHT,DEVEL,CLOVE,,,
1344,22/02/2025,00:38:39,cream,5,BOGUS,MINER,REAMY,DREAM,CREAM,
1345,23/02/2025,00:35:37,otter,3,OUGHT,OATER,OTTER,,,
1346,24/02/2025,00:32:03,gland,3,NIGHT,GENOA,GLAND,,,
1347,25/02/2025,07:25:30,dryer,6,LINER,TAVER,MODER,DUPER,DREER,DRYER
1348,26/02/2025,15:47:10,award,6,OUGHT,MISER,RALLY,DRAWN,DWARF,AWARD
1349,27/02/2025,00:05:05,lodge,4,TOWER,DOBLE,SOLDE,LODGE,,
1350,28/02/2025,07:26:58,fuzzy,6,FRATE,FLOPS,FUNNY,FUDDY,FUGGY,FUZZY
1351,01/03/2025,01:59:22,hover,5,PLEAT,GIVEN,DOVER,MOVER,HOVER,
1352,02/03/2025,00:26:17,deity,5,OUGHT,TAVER,ELECT,BENTS,DEITY,
1353,03/03/2025,00:22:09,spear,4,POWER,DEFER,EAGER,SPEAR,,
1354,04/03/2025,10:51:16,check,5,POLER,WESTS,EDIFY,CAECA,CHECK,
1355,05/03/2025,00:32:42,scrum,5,FIGHT,NOVEL,PARDY,BURBS,SCRUM,
1356,06/03/2025,00:23:14,alert,6,LOVER,RELAY,PEALS,WIDTH,ARTEL,ALERT
1357,07/03/2025,07:29:18,troop,6,FLAIR,ROVES,BROWN,GROOM,PROOT,TROOP
1358,08/03/2025,10:21:18,navel,5,POWER,MASTY,CANED,BAKEN,NAVEL,
1359,09/03/2025,01:05:35,greed,6,MOLER,RINES,TARTY,PREED,CREED,GREED
1360,10/03/2025,07:39:46,spite,5,MONEY,RESIT,FLITE,SKITE,SPITE,
1361,11/03/2025,07:26:20,track,5,FOLIE,DANCY,GRAMP,WRACK,TRACK,
1362,12/03/2025,15:00:06,mango,3,OUGHT,MODGE,MANGO,,,
1363,13/03/2025,14:18:30,chase,5,ROVER,SEDAN,CLUMP,CASTE,CHASE,
1364,14/03/2025,07:36:54,piece,4,MOLIE,FRITE,DINGE,PIECE,,
1365,15/03/2025,10:24:11,ladle,5,POWER,FELTY,EDILE,MASKS,LADLE,
1366,16/03/2025,00:14:27,stamp,5,LOVER,PINAS,WASPY,AGASP,STAMP,
1367,17/03/2025,13:26:32,lasso,4,PLEAS,SILKY,LOAST,LASSO,,
1368,18/03/2025,15:56:03,timer,4,COVER,WISER,LIGER,TIMER,,
1369,19/03/2025,14:30:33,spark,5,COVER,DRAFT,LIARS,SHARP,SPARK,
1370,20/03/2025,07:21:24,baste,6,PORTY,FLITE,CASTE,HASTE,WASTE,BASTE
1371,21/03/2025,14:40:56,nudge,5,REACT,PINES,WOVEN,GLUEY,NUDGE,
1372,22/03/2025,12:29:39,amble,6,LOVER,FLEAS,DALLE,WHALE,APPLE,AMBLE
1373,23/03/2025,00:40:22,dopey,5,COALS,WOMEN,ROPER,HOPED,DOPEY,
1374,24/03/2025,21:21:03,angle,6,DOUGH,GIVER,PLAST,LEGAL,EAGLE,ANGLE
1375,25/03/2025,17:09:38,shelf,6,TROPE,AAAAA,WELLY,DUELS,SMELL,SHELF
1376,26/03/2025,14:39:55,elbow,5,MEATY,PLENO,CLOKE,OLLER,ELBOW,
1377,27/03/2025,17:59:36,sheet,6,PORTE,TIMES,BESET,SLEET,SWEET,SHEET
1378,28/03/2025,01:09:44,verse,6,CROWN,RAMET,PERKY,SLIDE,HERSE,VERSE
1379,29/03/2025,13:15:56,sorry,4,COVER,FORGO,SORTS,SORRY,,
1380,30/03/2025,14:14:39,quota,5,MOWER,PLOTS,DANDY,BIOTA,QUOTA,
1381,31/03/2025,20:08:49,booty,5,BRIDE,BLAST,BOTTY,BOXTY,BOOTY,
1382,01/04/2025,15:58:35,jewel,5,LAUGH,PORTS,FILED,NEVEL,JEWEL,
1383,02/04/2025,00:34:59,curse,4,OUGHT,SUPER,BURSE,CURSE,,
1384,03/04/2025,15:21:11,shear,6,PARES,SEARE,SWEAR,STEAR,SMEAR,SHEAR
1385,04/04/2025,07:25:07,krill,6,TOWEL,PINAS,DRILL,GRILL,GRILL,KRILL
1386,05/04/2025,15:26:19,foamy,5,QUERY,POWNY,LIMAS,MOAKY,FOAMY,
1387,06/04/2025,17:01:23,villa,5,DOWEL,LIMAS,PILAR,BUNTY,VILLA,
1388,07/04/2025,01:03:17,hazel,5,DOWNY,SAVER,CAMEL,LAPEL,HAZEL,
1389,08/04/2025,19:52:38,spare,4,LOVER,REPAS,PARSE,SPARE,,
1390,09/04/2025,13:22:34,wheat,4,TOWER,WASTE,PEACE,WHEAT,,
1391,10/04/2025,00:08:40,turbo,5,AVIAN,POLER,CROWD,THROB,TURBO,
1392,11/04/2025,00:16:39,arrow,5,MONEY,PLOTS,OUGHT,AAAAA,ARROW,
1393,12/04/2025,15:53:03,nurse,5,PROUD,RULES,SUERS,CURSE,NURSE,
1394,13/04/2025,00:55:39,laugh,5,PAROL,SALES,BINDI,LACKY,LAUGH,
1395,14/04/2025,00:13:40,crest,5,TRASH,PROST,WREST,DREST,CREST,
1396,15/04/2025,00:05:42,ashen,4,OUGHT,HINDS,CRAMP,ASHEN,,
1397,16/04/2025,00:42:33,moral,3,POWER,CORAL,MORAL,,,
1398,17/04/2025,00:04:56,stood,6,FRESH,POUSY,CLOTS,STONN,STOIT,STOOD
1399,18/04/2025,00:17:32,dirge,6,TRAPE,SOLUM,WINCH,FIERE,VIRGE,DIRGE
1400,19/04/2025,00:17:19,inbox,5,POWND,FROMM,GETAS,BLINY,INBOX,
1401,20/04/2025,01:09:37,patch,4,LOVER,PITAS,PATTY,PATCH,,
1402,21/04/2025,00:50:21,spate,4,POULT,TRIPS,STEEP,SPATE,,
1403,22/04/2025,00:27:47,artsy,4,HOMER,RASPY,SCARY,ARTSY,,
1404,23/04/2025,00:44:29,ozone,5,QUERY,PASTE,GOING,CLONE,OZONE,
1405,24/04/2025,00:24:46,genie,4,POSTE,CRANE,BIDDY,GENIE,,
1406,25/04/2025,00:15:36,known,6,FROST,ALOWE,PUDGY,CHOWK,AAAAA,KNOWN
1407,26/04/2025,11:37:57,clash,6,CRANE,CLAMP,CLADS,CLASS,CLAST,CLASH
1408,27/04/2025,10:44:29,weedy,6,CASTE,POKER,ENEMY,FEELY,HEEDY,WEEDY
1409,28/04/2025,00:59:32,dummy,4,TROPE,CLASS,DINKY,DUMMY,,
1410,29/04/2025,00:03:41,bliss,6,POUND,GRAMS,FILES,CLITS,KLIKS,BLISS
1411,30/04/2025,07:24:16,idler,4,BRAND,DORMY,GILET,IDLER,,
1412,01/05/2025,00:04:57,adept,4,OUGHT,PINES,CREPT,ADEPT,,
1413,02/05/2025,00:10:41,whose,5,COULD,PRONE,SMOKE,BAITH,WHOSE,
1414,03/05/2025,00:03:07,patsy,3,PARTY,PATLY,PATSY,,,
1415,04/05/2025,01:31:55,trout,5,COUNT,PLOUT,GROUT,BISES,TROUT,
1416,05/05/2025,00:18:33,shush,5,POUND,VAULT,EMURE,BRICK,SHUSH,
1417,06/05/2025,00:25:20,suite,6,FEIGN,CRIME,PLOTS,SKITE,SHITE,SUITE
1418,07/05/2025,00:10:18,macho,5,COUNT,BROCK,FEALS,ACCOY,MACHO,
1419,08/05/2025,00:18:02,balmy,4,CORNS,GAMED,FILTH,BALMY,,
1420,09/05/2025,00:05:14,tripe,3,CRANE,PRIME,TRIPE,,,
1421,10/05/2025,02:20:58,yeast,3,MONEY,PLAST,YEAST,,,
1422,11/05/2025,00:58:19,dowel,5,FOLDS,PARTI,LOUND,MODEL,DOWEL,
1423,12/05/2025,00:10:06,bicep,4,PLANS,CREPT,WIDOW,BICEP,,
1424,13/05/2025,00:03:34,aware,3,CLADE,BROWN,AWARE,,,
1425,14/05/2025,00:13:47,bongo,4,CLOSE,PARDY,BOUGH,BONGO,,
1426,15/05/2025,00:10:29,eager,6,BLACK,TREAT,MINOS,WARED,RAPER,EAGER
1427,16/05/2025,00:07:33,fifth,5,PLATE,GRITS,DUMKY,NINTH,FIFTH,
1428,17/05/2025,00:12:24,grown,4,CRASH,PLUME,GRIND,GROWN,,
1429,18/05/2025,00:55:57,livid,6,PLANS,HIDER,FILMY,DILDO,AAAAA,LIVID
1430,19/05/2025,00:03:39,pitch,5,POULT,PASTY,PETER,MICKY,PITCH,
1431,20/05/2025,00:05:23,borne,4,PLANS,TREND,BIOME,BORNE,,
1432,21/05/2025,00:29:48,alarm,5,PLAIN,FLATS,GERMY,BROCK,ALARM,
1433,22/05/2025,00:05:01,folio,5,OUGHT,PALMS,VEINY,BOLIX,FOLIO,
1434,23/05/2025,00:20:04,shuck,5,PLANS,CROME,WHITY,SHUSH,SHUCK,
1435,24/05/2025,20:38:50,suede,5,POWER,MINTY,LEADS,SHEDS,SUEDE,
1436,25/05/2025,01:51:03,grift,5,TROPE,LIMAS,GUNKY,GRITH,GRIFT,
1437,26/05/2025,00:22:33,drone,5,PLANS,FRONT,CRONY,IRONE,DRONE,
1438,27/05/2025,00:19:17,sport,3,CLOWN,PIERS,SPORT,,,
1439,28/05/2025,00:05:37,polar,4,CRAMP,PARTS,BLIND,POLAR,,
1440,29/05/2025,19:33:09,quash,6,PEASY,GRASS,CLOTH,AWASH,SMASH,QUASH
1441,30/05/2025,09:03:35,idiom,5,QUACK,PRIDE,BLOND,THYMY,IDIOM,
1442,31/05/2025,12:30:47,habit,5,PLANE,MUIRS,WATCH,FAITH,HABIT,
1443,01/06/2025,01:12:40,rough,5,CRANE,BLOWY,PORTS,HUMID,ROUGH,
1444,02/06/2025,00:13:19,preen,4,PLANS,VERTU,PREON,PREEN,,
1445,03/06/2025,00:08:42,admin,5,PUSHY,CRANE,BLOWN,GAMIN,ADMIN,
1446,04/06/2025,00:26:20,cease,4,PLANE,CRATE,CHASE,CEASE,,
1447,05/06/2025,00:56:04,datum,3,PLANE,TOURS,DATUM,,,
1448,06/06/2025,00:14:34,edify,5,TREAD,DEMON,PLUGS,WHICH,EDIFY,
1449,07/06/2025,12:31:17,reuse,5,PLANE,TRUCK,BIOME,USURE,REUSE,
1450,08/06/2025,00:05:59,lease,4,CRANE,POLIS,BLASE,LEASE,,
1451,09/06/2025,00:04:28,board,5,PLANE,TROIS,ROADY,HOARD,BOARD,
1452,10/06/2025,01:04:07,taffy,6,DREAM,GUILT,POCKY,TASTY,TAWNY,TAFFY
1453,11/06/2025,00:14:24,plaid,3,AUDIT,POLES,PLAID,,,
1454,12/06/2025,01:18:42,vixen,5,CRANE,CRANE,CRANE,CRANE,VIXEN,
1455,13/06/2025,01:23:33,bilge,5,PLEAD,MINOS,LITER,BULKY,BILGE,
1456,14/06/2025,01:19:12,ghost,3,OINKS,PROSE,GHOST,,,
1457,15/06/2025,00:06:06,quail,5,VOIDS,REALM,PLAIN,BUTCH,QUAIL,
1458,16/06/2025,00:11:53,petty,4,MOLES,BUNIA,TECHY,PETTY,,
1459,17/06/2025,02:08:47,prank,3,AUDIO,PLANE,PRANK,,,
1460,18/06/2025,00:06:59,munch,4,LUCKS,PORAE,CUDDY,MUNCH,,
1461,19/06/2025,01:40:40,curio,4,AUDIO,PREST,RUBIO,CURIO,,
1462,20/06/2025,19:50:52,taupe,4,AUDIO,CREAM,SAUTE,TAUPE,,
1463,21/06/2025,22:13:23,glade,6,AUDIO,DATER,BLADE,CLADE,SLADE,GLADE
1464,22/06/2025,21:58:51,thrum,5,AUDIO,PLUME,SMOCK,HORNY,THRUM,
1465,23/06/2025,17:08:50,oddly,3,AUDIO,PERST,ODDLY,,,
1466,24/06/2025,03:48:09,elite,4,AUDIO,PLESH,BLITE,ELITE,,
1467,25/06/2025,00:40:48,comfy,4,AUDIO,PREST,GLOBY,COMFY,,
1469,27/06/2025,00:27:54,plain,3,AUDIO,PLETS,PLAIN,,,
1470,28/06/2025,01:13:54,stump,5,AUDIO,PREST,BLUNK,PHUTS,STUMP,
1471,29/06/2025,00:03:42,witty,5,AUDIO,PREST,CLICK,MINTY,WITTY,
1472,30/06/2025,00:12:13,blink,5,AUDIO,FELTS,PLINK,CLINK,BLINK,